Package Name,Codeinterpreter Version,Latest Version,Summary
pexpect,4.8.0,4.8.0,Pexpect allows easy control of interactive console applications.
pdfrw,0.4,0.4,PDF file reader/writer library
pdfplumber,0.5.28,0.9.0,"Plumb a PDF for detailed information about each char, rectangle, and line."
pdfminer.six,20200517,20221105,PDF parser and analyzer
pdfkit,0.6.1,1.0.0,Wkhtmltopdf python wrapper to convert html to pdf using the webkit rendering engine and qt
pdf2image,1.16.3,1.16.3,A wrapper around the pdftoppm and pdftocairo command line tools to convert PDF to a PIL Image list.
patsy,0.5.3,0.5.3,A Python package for describing statistical models and for building design matrices.
pathy,0.10.2,0.10.2,pathlib.Path subclasses for local and cloud bucket storage
parso,0.8.3,0.8.3,A Python Parser
paramiko,3.2.0,3.2.0,SSH2 protocol library
pandocfilters,1.5.0,1.5.0,Utilities for writing pandoc filters in python
pandas,1.3.2,2.0.3,"Powerful data structures for data analysis, time series, and statistics"
packaging,23.1,23.1,Core utilities for Python packages
orjson,3.9.1,3.9.2,"Fast, correct Python JSON library supporting dataclasses, datetimes, and numpy"
opt-einsum,3.3.0,3.3.0,Optimizing numpys einsum function
openpyxl,3.0.10,3.1.2,A Python library to read/write Excel 2010 xlsx/xlsm files
opencv-python,4.5.2.54,4.8.0.74,Wrapper package for OpenCV python bindings.
olefile,0.46,0.46,"Python package to parse, read and write Microsoft OLE2 files (Structured Storage or Compound Document, Microsoft Office)"
odfpy,1.4.1,1.4.1,Python API and tools to manipulate OpenDocument files
numpy,1.21.2,1.25.1,Fundamental package for array computing in Python
numpy-financial,1.0.0,1.0.0,Simple financial functions
numexpr,2.8.4,2.8.4,Fast numerical expression evaluator for NumPy
numba,0.57.1,0.57.1,compiling Python code using LLVM
notebook,6.5.1,6.5.4,A web-based notebook environment for interactive computing
notebook-shim,0.2.3,0.2.3,A shim layer for notebook traits and config
nltk,3.6.3,3.8.1,Natural Language Toolkit
networkx,2.6.3,3.1,Python package for creating and manipulating graphs and networks
nest-asyncio,1.5.6,1.5.6,Patch asyncio to allow nested event loops
nbformat,5.9.0,5.9.0,The Jupyter Notebook format
nbconvert,7.6.0,7.6.0,Converting Jupyter Notebooks
nbclient,0.8.0,0.8.0,A client library for executing notebooks. Formerly nbconvert's ExecutePreprocessor.
nbclassic,1.0.0,1.0.0,Jupyter Notebook as a Jupyter Server extension.
nashpy,0.0.35,0.0.37,A library with algorithms on 2 player games.
mutagen,1.45.1,1.46.0,read and write audio tags for many formats
mpmath,1.3.0,1.3.0,Python library for arbitrary-precision floating-point arithmetic
moviepy,1.0.3,1.0.3,Video editing with Python
monotonic,1.6,1.6,An implementation of time.monotonic() for Python 2 & < 3.3
mne,0.23.4,1.4.2,MNE-Python project for MEG and EEG data analysis.
mizani,0.9.2,0.9.2,Scales for Python
mistune,3.0.1,3.0.1,A sane and fast Markdown parser with useful plugins and renderers
matplotlib,3.4.3,3.7.2,Python plotting package
matplotlib-venn,0.11.6,0.11.9,Functions for plotting area-proportional two- and three-way Venn diagrams in matplotlib.
matplotlib-inline,0.1.6,0.1.6,Inline Matplotlib backend for Jupyter
MarkupSafe,2.1.3,2.1.3,Safely add untrusted strings to HTML/XML markup.
markdownify,0.9.3,0.11.6,Convert HTML to markdown.
markdown2,2.4.9,2.4.9,A fast and complete Python implementation of Markdown
mako,1.1.6,1.2.4,A super-fast templating language that borrows the best ideas from the existing templating languages.
lxml,4.9.3,4.9.3,Powerful and Pythonic XML processing library combining libxml2/libxslt with the ElementTree API.
loguru,0.5.3,0.7.0,Python logging made (stupidly) simple
llvmlite,0.40.1,0.40.1,lightweight wrapper around basic LLVM functionality
librosa,0.8.1,0.10.0.post2,Python module for audio and music processing
korean-lunar-calendar,0.3.1,0.3.1,Korean Lunar Calendar
kiwisolver,1.4.4,1.4.4,A fast implementation of the Cassowary constraint solver
kerykeion,2.1.16,3.4.2,A python library for astrology.
keras,2.6.0,2.13.1,Deep learning for humans.
jupyterlab,3.4.8,4.0.2,JupyterLab computational environment
jupyterlab-server,2.19.0,2.23.0,A set of server components for JupyterLab and JupyterLab like applications.
jupyterlab-pygments,0.2.2,0.2.2,Pygments theme using JupyterLab CSS variables
jupyter-server,1.23.5,2.7.0,"The backend—i.e. core services, APIs, and REST endpoints—to Jupyter web applications."
jupyter-core,5.1.3,5.3.1,Jupyter core package. A base package on which Jupyter projects rely.
jupyter-client,7.4.9,8.3.0,Jupyter protocol implementation and client libraries
jsonschema,4.18.0,4.18.0,An implementation of JSON Schema validation for Python
jsonschema-specifications,2023.6.1,2023.6.1,"The JSON Schema meta-schemas and vocabularies, exposed as a Registry"
jsonpickle,3.0.1,3.0.1,Python library for serializing any arbitrary object graph into JSON
json5,0.9.14,0.9.14,A Python implementation of the JSON5 data format.
joblib,1.3.1,1.3.1,Lightweight pipelining with Python functions
Jinja2,3.1.2,3.1.2,A very fast and expressive template engine.
jedi,0.18.2,0.18.2,An autocompletion tool for Python that can be used for text editors.
jax,0.2.28,0.4.13,"Differentiate, compile, and transform Numpy code."
itsdangerous,2.1.2,2.1.2,Safely pass data to untrusted environments and back.
isodate,0.6.1,0.6.1,An ISO 8601 date/time/duration parser and formatter
ipython,8.12.2,8.14.0,IPython: Productive Interactive Computing
ipython-genutils,0.2.0,0.2.0,Vestigial utilities from IPython
ipykernel,6.24.0,6.24.0,IPython Kernel for Jupyter
iniconfig,2.0.0,2.0.0,brain-dead simple config-ini parsing
importlib-resources,5.12.0,6.0.0,Read resources from Python packages
importlib-metadata,6.7.0,6.8.0,Read metadata from Python packages
imgkit,1.2.2,1.2.3,Wkhtmltopdf python wrapper to convert html to image using the webkit rendering engine and qt
IMAPClient,2.1.0,2.3.1,"Easy-to-use, Pythonic and complete IMAP client library"
imageio,2.31.1,2.31.1,"Library for reading and writing a wide range of image, video, scientific, and volumetric data formats."
imageio-ffmpeg,0.4.8,0.4.8,FFMPEG wrapper for Python
hyperframe,6.0.1,6.0.1,HTTP/2 framing layer for Python
hypercorn,0.14.3,0.14.4,A ASGI Server based on Hyper libraries and inspired by Gunicorn
httpx,0.24.1,0.24.1,The next generation HTTP client.
httptools,0.6.0,0.6.0,A collection of framework independent HTTP protocol utils.
httpcore,0.17.3,0.17.3,A minimal low-level HTTP client.
html5lib,1.1,1.1,HTML parser based on the WHATWG HTML specification
hpack,4.0.0,4.0.0,Pure-Python HPACK header compression
h11,0.14.0,0.14.0,"A pure-Python, bring-your-own-I/O implementation of HTTP/1.1"
h5py,3.4.0,3.9.0,Read and write HDF5 files from Python
h5netcdf,1.1.0,1.2.0,netCDF4 via h5py
gTTS,2.2.3,2.3.2,"gTTS (Google Text-to-Speech), a Python library and CLI tool to interface with Google Translate text-to-speech API"
graphviz,0.17,0.20.1,Simple Python interface for Graphviz
gradio,2.2.15,3.36.1,Python library for easily interacting with trained machine learning models
geopy,2.2.0,2.3.0,Python Geocoding Toolbox
geopandas,0.10.2,0.13.2,Geographic pandas extensions
geographiclib,1.52,2.0,The geodesic routines from GeographicLib
gensim,4.1.0,4.3.1,Python framework for fast Vector Space Modelling
fuzzywuzzy,0.18.0,0.18.0,Fuzzy string matching in python
future,0.18.3,0.18.3,Clean single-source support for Python 3 and 2
frozenlist,1.3.3,1.3.3,A list-like structure which implements collections.abc.MutableSequence
fpdf,1.7.2,1.7.2,Simple PDF generation for Python
ffmpeg-python,0.2.0,0.2.0,Python bindings for FFmpeg - with complex filtering support
fastprogress,1.0.3,1.0.3,A nested progress with plotting options for fastai
fastjsonschema,2.17.1,2.17.1,Fastest Python implementation of JSON schema
fastapi,0.92.0,0.100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production"
Faker,8.13.2,18.13.0,Faker is a Python package that generates fake data for you.
extract-msg,0.28.7,0.41.5,Extracts emails and attachments saved in Microsoft Outlook's .msg files
executing,1.2.0,1.2.0,"Get the currently executing AST node of a frame, and other information"
exchange-calendars,3.4,4.2.8,Calendars for securities exchanges
exceptiongroup,1.1.2,1.1.2,Backport of PEP 654 (exception groups)
et-xmlfile,1.1.0,1.1.0,An implementation of lxml.xmlfile for the standard library
entrypoints,0.4,0.4,Discover and load entry points from installed packages.
email-validator,2.0.0.post2,2.0.0.post2,A robust email address syntax and deliverability validation library.
einops,0.3.2,0.6.1,A new flavour of deep learning operations
EbookLib,0.18,0.18,Ebook library which can handle EPUB2/EPUB3 and Kindle format
ebcdic,1.1.1,1.1.1,Additional EBCDIC codecs
docx2txt,0.8,0.8,A pure python-based utility to extract text and images from docx files.
dnspython,2.3.0,2.3.0,DNS toolkit
dlib,19.22.1,19.24.2,A toolkit for making real world machine learning and data analysis applications
dill,0.3.6,0.3.6,serialize all of python
deprecat,2.1.1,2.1.1,"Python @deprecat decorator to deprecate old python classes, functions or methods."
defusedxml,0.7.1,0.7.1,XML bomb protection for Python stdlib modules
decorator,4.4.2,5.1.1,Decorators for Humans
debugpy,1.6.7,1.6.7,An implementation of the Debug Adapter Protocol for Python
cymem,2.0.7,2.0.7,Manage calls to calloc/free through Cython
cycler,0.11.0,0.11.0,Composable style cycles
cssselect2,0.7.0,0.7.0,CSS selectors for Python ElementTree
cryptography,3.4.8,41.0.1,cryptography is a package which provides cryptographic recipes and primitives to Python developers.
countryinfo,0.1.2,0.1.2,"countryinfo is a python module for returning data about countries, ISO info and states/provinces within them."
compressed-rtf,1.0.6,1.0.6,Compressed Rich Text Format (RTF) compression and decompression package
comm,0.1.3,0.1.3,"Jupyter Python Comm implementation, for usage in ipykernel, xeus-python etc."
cmudict,1.0.13,1.0.13,A versioned python wrapper package for The CMU Pronouncing Dictionary data files.
cloudpickle,2.2.1,2.2.1,Extended pickling support for Python objects
cligj,0.7.2,0.7.2,Click params for commmand line interfaces to GeoJSON
click,8.1.4,8.1.4,Composable command line interface toolkit
click-plugins,1.1.1,1.1.1,An extension module for click to enable registering CLI commands via setuptools entry-points.
charset-normalizer,2.1.1,3.2.0,"The Real First Universal Charset Detector. Open, modern and actively maintained alternative to Chardet."
chardet,4.0.0,5.1.0,Universal encoding detector for Python 3
cffi,1.15.1,1.15.1,Foreign Function Interface for Python calling C code.
catalogue,2.0.8,2.0.8,Super lightweight function registries for your library
camelot-py,0.10.1,0.11.0,PDF Table Extraction for Humans.
CairoSVG,2.5.2,2.7.0,A Simple SVG Converter based on Cairo
cairocffi,1.6.0,1.6.0,cffi-based cairo bindings for Python
cachetools,5.3.1,5.3.1,Extensible memoizing collections and decorators
Brotli,1.0.9,1.0.9,Python bindings for the Brotli compression library
branca,0.6.0,0.6.0,Generate complex HTML+JS pages with Python
bokeh,2.4.0,3.2.0,Interactive plots and applications in the browser from Python
blis,0.7.9,0.9.1,"The Blis BLAS-like linear algebra library, as a self-contained C-extension."
blinker,1.6.2,1.6.2,"Fast, simple object-to-object and broadcast signaling"
bleach,6.0.0,6.0.0,An easy safelist-based HTML-sanitizing tool.
beautifulsoup4,4.12.2,4.12.2,Screen-scraping library
bcrypt,4.0.1,4.0.1,Modern password hashing for your software and your servers
basemap,1.3.2,1.3.7,Plot data on map projections with matplotlib
basemap-data,1.3.2,1.3.2,Data assets for matplotlib basemap
backports.zoneinfo,0.2.1,0.2.1,Backport of the standard library zoneinfo module
backoff,1.10.0,2.2.1,Function decoration for backoff and retry
backcall,0.2.0,0.2.0,Specifications for callback functions passed in to an API
Babel,2.12.1,2.12.1,Internationalization utilities
audioread,3.0.0,3.0.0,"multi-library, cross-platform audio decoding"
attrs,23.1.0,23.1.0,Classes Without Boilerplate
async-timeout,4.0.2,4.0.2,Timeout context manager for asyncio programs
asttokens,2.2.1,2.2.1,Annotate AST trees with source code positions
arviz,0.15.1,0.15.1,Exploratory analysis of Bayesian models
argon2-cffi,21.3.0,21.3.0,The secure Argon2 password hashing algorithm.
argon2-cffi-bindings,21.2.0,21.2.0,Low-level CFFI bindings for Argon2
argcomplete,1.10.3,3.1.1,Bash tab completion for argparse
anytree,2.8.0,2.9.0,Powerful and Lightweight Python Tree Data Structure with various plugins
anyio,3.7.1,3.7.1,High level compatibility layer for multiple asynchronous event loop implementations
analytics-python,1.4.post1,1.4.post1,The hassle-free way to integrate analytics into any python application.
aiosignal,1.3.1,1.3.1,aiosignal: a list of registered asynchronous callbacks
aiohttp,3.8.1,3.8.4,Async http client/server framework (asyncio)
affine,2.4.0,2.4.0,Matrices describing affine transformation of the plane
absl-py,1.4.0,1.4.0,"Abseil Python Common Libraries, see https://github.com/abseil/abseil-py."
wheel,0.34.2,0.40.0,A built-package format for Python
urllib3,1.25.8,2.0.3,"HTTP library with thread-safe connection pooling, file post, and more."
unattended-upgrades,0.1,,
six,1.14.0,1.16.0,Python 2 and 3 compatibility utilities
setuptools,45.2.0,68.0.0,"Easily download, build, install, upgrade, and uninstall Python packages"
requests-unixsocket,0.2.0,0.3.0,Use requests to talk HTTP via a UNIX domain socket
python-apt,2.0.1+ubuntu0.20.4.1,0.7.8,Python bindings for libapt.
PyGObject,3.36.0,3.44.1,Python bindings for GObject Introspection
PyAudio,0.2.11,0.2.13,Cross-platform audio I/O with PortAudio
pip,20.0.2,23.1.2,The PyPA recommended tool for installing Python packages.
idna,2.8,3.4,Internationalized Domain Names in Applications (IDNA)
distro-info,0.23ubuntu1,1.0,
dbus-python,1.2.16,1.3.2,Python bindings for libdbus
certifi,2019.11.28,2023.5.7,Python package for providing Mozilla's CA Bundle.
